code_insee,annee,prix_m2_appart,prix_m2_maison,nb_ventes_appart,nb_ventes_maison,nb_ventes_total
17112,2024,1949,1949,0.0,7.0,7
17113,2024,1443,1443,0.0,7.0,7
17114,2024,1171,1171,0.0,3.0,3
17115,2024,944,944,0.0,2.0,2
17116,2024,1256,1256,0.0,3.0,3
17117,2024,550,550,0.0,1.0,1
17118,2024,1681,1681,0.0,5.0,5
17119,2024,2198,2198,0.0,11.0,11
17120,2024,2057,2057,0.0,24.0,24
17121,2024,7621,7621,1.0,34.0,35
17122,2024,1430,1430,0.0,3.0,3
17124,2024,1146,1146,0.0,3.0,3
17125,2024,1212,1212,0.0,6.0,6
17126,2024,1750,1750,0.0,2.0,2
17127,2024,1794,1794,16.0,24.0,40
17128,2024,1812,1812,0.0,9.0,9
17129,2024,1450,1450,0.0,1.0,1
17130,2024,1977,1977,0.0,1.0,1
17131,2024,2047,2047,1.0,24.0,25
17132,2024,1335,1335,0.0,3.0,3
17133,2024,1342,1342,0.0,7.0,7
17134,2024,1307,1307,0.0,3.0,3
17135,2024,654,654,0.0,1.0,1
17136,2024,2632,2632,0.0,15.0,15
17137,2024,1386,1386,0.0,3.0,3
17138,2024,1361,1361,0.0,9.0,9
17139,2024,1538,1538,0.0,1.0,1
17140,2024,3789,3789,9.0,86.0,95
17141,2024,2362,2362,0.0,2.0,2
17142,2024,3562,3562,6.0,50.0,56
17143,2024,1542,1542,0.0,5.0,5
17145,2024,690,690,0.0,1.0,1
17146,2024,2415,2415,6.0,53.0,59
17147,2024,1653,1653,0.0,10.0,10
17148,2024,1548,1548,0.0,4.0,4
17149,2024,517,517,0.0,1.0,1
17150,2024,872,872,0.0,7.0,7
17151,2024,1781,1781,1.0,13.0,14
17152,2024,1808,1808,1.0,14.0,15
17153,2024,2770,2770,0.0,35.0,35
17154,2024,1763,1763,0.0,7.0,7
17155,2024,2706,2706,2.0,46.0,48
17156,2024,667,667,0.0,1.0,1
17157,2024,899,899,0.0,2.0,2
17158,2024,2799,2799,0.0,24.0,24
17159,2024,1792,1792,0.0,2.0,2
17160,2024,1801,1801,0.0,8.0,8
17161,2024,7456,7456,4.0,59.0,63
17162,2024,994,994,0.0,4.0,4
17163,2024,1808,1808,0.0,4.0,4
