code_insee,nb_auberges,nb_campings,nb_hãtel_de_tourisme,nb_parc_rãsidentiel_de_lois,nb_rãsidence_de_tourisme,nb_villages_vac,total_hebergements,capacite_totale,nb_chambres_total
01053,0,0,11,0,1,0,12,1285,505.0
01283,0,0,2,0,0,0,2,180,84.0
02408,0,1,5,0,0,0,6,589,224.0
02691,0,1,8,0,0,0,9,1032,409.0
02722,0,1,3,0,0,0,4,792,195.0
03310,0,0,18,0,1,0,19,1609,728.0
04112,0,1,9,0,1,0,11,1242,326.0
05061,0,2,10,0,0,0,12,1656,423.0
06004,2,4,34,0,7,0,47,6565,1558.0
06027,0,4,10,0,1,0,15,2232,303.0
06029,0,1,91,0,5,0,97,13119,5268.0
06030,0,0,3,0,1,0,4,523,186.0
06069,0,1,4,0,1,1,7,1137,99.0
06079,0,4,6,0,5,1,16,5243,461.0
06083,0,1,25,0,1,1,28,3063,1139.0
06088,1,0,141,0,11,0,153,24937,10465.0
06123,0,0,6,0,0,0,6,1009,400.0
06155,0,0,3,0,0,0,3,342,159.0
10387,0,0,17,0,1,0,18,1829,757.0
11069,0,1,34,0,2,0,37,4628,1465.0
11262,1,6,23,0,2,0,32,9597,963.0
12145,1,8,12,0,0,0,21,5441,469.0
12202,0,0,13,0,0,0,13,1035,474.0
13001,0,2,44,0,8,0,54,8724,2472.0
13002,0,0,2,0,0,0,2,83,35.0
13004,1,3,29,1,3,0,37,4707,1075.0
13005,0,1,5,0,0,0,6,891,297.0
13028,0,3,10,0,2,0,15,4123,412.0
13047,0,1,7,0,0,0,8,1023,308.0
13054,0,0,4,0,0,0,4,1070,492.0
13055,0,0,34,0,3,0,37,6551,2617.0
13056,0,8,9,1,1,2,21,5654,468.0
13063,0,0,1,0,0,0,1,221,72.0
13071,0,0,2,0,0,0,2,218,102.0
13103,0,1,16,0,0,0,17,1354,483.0
13117,0,1,10,0,1,0,12,3033,739.0
14118,0,0,26,0,3,0,29,3454,1280.0
15014,0,1,8,0,0,0,9,1246,298.0
17299,0,2,10,0,0,0,12,1528,401.0
17300,1,1,41,0,4,1,48,7140,2073.0
17415,0,1,14,0,0,0,15,1739,579.0
18033,0,1,16,0,1,0,18,2268,838.0
18279,0,1,8,0,0,0,9,991,322.0
